cluster,distinct_cultures,distinct_families,distinct_regions,families_percentile_vs_random,regions_percentile_vs_random
737,2,2,2,16.25,16.0
738,1,1,1,56.5,56.5
739,1,1,1,56.25,56.25
740,1,0,0,1.5,1.5
741,2,1,2,7.5,40.75
742,2,2,2,69.75,69.5
743,3,2,2,20.5,19.0
744,1,1,1,55.0,55.0
745,1,1,1,55.75,55.75
746,1,1,1,54.0,54.0
747,1,1,1,56.25,56.25
748,1,1,1,21.25,20.5
749,1,1,1,16.75,15.5
750,1,1,1,54.75,54.75
751,1,1,1,56.75,56.75
752,1,1,1,57.0,57.0
753,1,1,1,57.0,57.0
754,1,1,1,55.75,55.75
755,1,0,0,6.0,6.0
756,1,1,1,55.75,55.75
757,1,0,0,6.5,6.5
758,1,1,1,22.5,23.75
759,1,0,0,0.75,0.75
760,1,1,1,55.75,55.75
761,1,1,1,19.75,19.25
762,1,1,1,57.75,57.75
763,1,0,0,1.25,1.25
764,1,0,0,6.5,6.5
765,1,0,0,7.25,7.25
766,1,1,1,20.25,21.25
767,1,1,1,19.5,19.25
768,2,2,2,35.5,35.25
769,1,1,1,55.75,55.75
770,1,1,1,58.5,58.5
771,1,1,1,18.5,18.75
772,3,2,2,10.75,9.25
773,1,1,1,56.75,56.75
774,1,0,0,0.75,0.75
775,2,1,1,3.5,3.5
776,1,0,0,1.0,1.0
777,1,1,1,20.75,22.25
778,2,1,1,5.5,4.75
779,1,1,1,56.5,56.5
780,1,0,0,1.25,1.25
781,1,0,0,1.25,1.25
782,1,0,0,6.0,6.0
783,3,2,2,5.75,6.0
784,1,0,0,6.0,6.0
785,1,1,1,56.0,56.0
786,1,1,1,57.5,57.5
787,1,1,1,17.5,18.0
788,1,1,1,56.5,56.5
789,3,3,3,83.25,84.5
790,1,1,1,56.25,56.25
791,1,1,1,56.75,56.75
792,2,1,1,6.5,5.25
793,1,1,1,58.25,58.25
794,2,2,2,37.0,35.75
795,1,0,0,6.75,6.75
796,1,1,1,58.5,58.5
797,1,1,1,56.0,56.0
798,1,0,0,0.75,0.75
799,1,0,0,4.75,4.75
800,1,0,0,9.0,9.0
801,1,0,0,8.75,8.75
802,1,0,0,1.0,1.0
803,1,1,1,56.0,56.0
804,1,1,1,55.75,55.75
805,1,1,1,59.25,59.25
806,1,1,1,19.75,20.5
807,1,1,1,55.5,55.5
808,1,1,1,56.0,56.0
809,1,1,1,57.0,57.0
810,1,1,1,56.75,56.75
811,1,1,1,57.0,57.0
812,1,1,1,55.25,55.25
813,1,1,1,57.0,57.0
814,1,1,1,55.75,55.75
815,1,1,1,57.25,57.25
816,1,1,1,54.5,54.5
817,1,1,1,55.5,55.5
818,1,1,1,18.25,17.0
819,1,1,1,56.25,56.25
820,1,1,1,54.0,54.0
821,1,1,1,19.0,20.0
822,1,1,1,55.5,55.5
823,1,0,0,0.5,0.5
824,2,2,2,67.25,66.0
825,1,1,1,17.0,16.0
826,1,1,1,54.75,54.75
827,1,1,1,19.0,19.75
828,1,1,1,58.75,58.75
829,2,2,2,38.5,38.5
830,1,1,1,56.75,56.75
831,1,0,0,5.75,5.75
832,1,1,1,57.75,57.75
833,1,1,1,58.0,58.0
834,1,1,1,19.25,20.5
835,1,1,1,57.0,57.0
836,1,1,1,56.75,56.75
837,1,1,1,56.25,56.25
838,1,0,0,1.25,1.25
839,2,1,2,19.0,67.5
840,1,1,1,57.5,57.5
841,1,1,1,55.25,55.25
842,2,1,2,8.0,37.75
843,1,1,1,21.25,20.25
844,2,1,1,4.5,4.75
845,1,1,1,56.5,56.5
846,1,1,1,56.25,56.25
847,1,1,1,20.5,21.75
848,1,1,1,17.75,19.25
849,1,1,1,19.75,20.5
850,1,0,0,1.0,1.0
851,3,1,2,0.5,9.0
852,1,1,1,56.75,56.75
853,2,1,1,4.25,3.5
854,1,0,0,7.0,7.0
855,1,1,1,58.25,58.25
856,2,2,2,39.5,38.0
857,1,1,1,58.0,58.0
858,1,1,1,56.75,56.75
859,1,0,0,4.5,4.5
860,2,1,1,1.5,2.0
861,1,0,0,0.5,0.5
862,1,0,0,5.25,5.25
863,1,1,1,20.25,20.75
864,1,0,0,1.25,1.25
865,1,1,1,57.25,57.25
866,1,0,0,8.75,8.75
867,1,0,0,6.5,6.5
868,1,1,1,20.25,20.75
869,1,0,0,1.0,1.0
870,1,0,0,1.75,1.75
871,1,1,1,56.5,56.5
872,2,1,1,8.5,7.75
873,1,1,1,55.25,55.25
874,1,0,0,1.25,1.25
875,2,1,1,20.75,21.25
876,1,0,0,7.5,7.5
877,1,1,1,56.5,56.5
878,1,0,0,7.25,7.25
879,1,1,1,20.25,23.0
880,1,1,1,56.25,56.25
881,1,0,0,7.0,7.0
882,1,1,1,55.75,55.75
883,1,0,0,7.0,7.0
884,1,0,0,0.75,0.75
885,1,1,1,58.25,58.25
886,1,1,1,21.5,20.75
887,1,1,1,55.0,55.0
888,1,1,1,20.25,19.75
889,2,2,2,39.5,40.0
890,1,1,1,56.25,56.25
891,1,1,1,20.5,21.0
892,2,2,2,71.5,71.0
893,1,1,1,56.5,56.5
894,1,1,1,57.25,57.25
895,1,0,0,5.75,5.75
896,1,1,1,57.5,57.5
897,1,1,1,54.5,54.5
898,1,0,0,6.5,6.5
899,1,1,1,57.25,57.25
900,1,1,1,54.25,54.25
901,1,1,1,55.5,55.5
902,1,1,1,56.75,56.75
903,1,1,1,58.5,58.5
904,1,1,1,57.75,57.75
905,1,0,0,6.5,6.5
906,1,1,1,56.25,56.25
907,1,1,1,55.0,55.0
908,1,0,0,0.5,0.5
909,1,0,0,0.0,0.0
910,2,1,1,5.75,5.0
911,1,0,0,9.0,9.0
912,1,1,1,57.25,57.25
913,1,1,1,57.25,57.25
914,2,2,2,68.25,69.0
915,1,1,1,18.25,18.0
916,1,1,1,19.0,19.75
917,3,2,2,22.5,22.25
918,1,1,1,56.5,56.5
919,1,0,0,1.25,1.25
920,1,1,1,57.25,57.25
921,1,1,1,58.5,58.5
922,1,1,1,56.25,56.25
923,1,1,1,57.5,57.5
924,1,1,1,55.25,55.25
925,1,1,1,55.75,55.75
926,1,1,1,55.75,55.75
927,1,1,1,54.5,54.5
928,1,0,0,7.75,7.75
929,1,1,1,59.25,59.25
930,1,1,1,56.25,56.25
931,1,0,0,0.5,0.5
932,2,2,2,39.75,40.75
933,1,1,1,55.75,55.75
934,1,1,1,55.25,55.25
935,1,1,1,55.75,55.75
936,2,1,1,5.25,5.0
937,1,1,1,54.5,54.5
938,1,1,1,56.25,56.25
939,1,0,0,7.75,7.75
940,1,1,1,54.0,54.0
941,1,1,1,57.0,57.0
942,1,1,1,55.5,55.5
943,1,1,1,57.5,57.5
944,1,1,1,57.5,57.5
945,1,1,1,20.5,20.75
946,1,1,1,57.25,57.25
947,1,1,1,56.75,56.75
948,1,0,0,0.5,0.5
949,1,1,1,56.25,56.25
950,1,1,1,57.25,57.25
951,1,1,1,54.75,54.75
952,2,1,1,2.0,1.0
953,2,1,1,6.25,6.25
954,2,1,1,7.0,7.5
955,3,2,3,9.75,44.5
956,1,1,1,56.5,56.5
957,1,1,1,57.0,57.0
958,1,1,1,56.25,56.25
959,1,1,1,57.5,57.5
960,3,2,2,33.0,33.5
961,1,0,0,0.5,0.5
962,1,1,1,56.75,56.75
963,1,1,1,56.0,56.0
964,1,1,1,55.25,55.25
965,1,1,1,57.25,57.25
966,1,1,1,19.5,18.0
967,2,2,2,39.5,39.75
968,1,1,1,16.25,16.75
969,1,1,1,57.0,57.0
970,2,2,2,35.75,36.0
971,2,1,1,2.75,2.75
972,1,1,1,55.0,55.0
973,1,1,1,58.75,58.75
974,1,1,1,57.5,57.5
975,1,1,1,19.25,20.5
976,1,1,1,56.0,56.0
977,1,0,0,1.25,1.25
978,1,1,1,57.25,57.25
979,1,1,1,59.0,59.0
980,2,1,2,23.75,71.75
981,1,1,1,21.0,20.5
982,1,1,1,56.25,56.25
983,1,1,1,56.0,56.0
984,1,1,1,55.5,55.5
985,1,1,1,56.0,56.0
986,1,1,1,56.5,56.5
987,1,1,1,57.25,57.25
988,1,1,1,18.0,17.5
989,1,1,1,55.0,55.0
990,1,1,1,58.0,58.0
991,3,1,2,3.0,20.25
